Radar Station | produced by | National Film Board of Canada
St. Francis Xavier University | hosted | 2015 CIS Men's University Cup Hockey Tournament
Saint Mary's University | hosted | 2015 CIS Men's University Cup Hockey Tournament
Dungeness School | had | one teacher
Dungeness School | purchased | bottle of ink
Conestoga | 类型 | 文学科幻与奇幻大会
Conestoga | 举办时间 | 1997-2010
Conestoga | 停办原因 | 财务和后勤原因
Conestoga | 命名方式 | 最初按年份命名
Conestoga | 命名方式 | 第六届后改为数字编号
Conestoga | 总届数 | 14届
Conestoga | 主要内容 | 科幻与奇幻文学和艺术
Conestoga | 热门活动 | filking
Conestoga | 热门活动 | 游戏
Conestoga | 特色节目 | 作家讲座
Conestoga | 特色节目 | 艺术展
Conestoga | 特色节目 | 经销商展区
Conestoga | 特色节目 | 化装舞会
Conestoga | 特色节目 | Penguin Playhouse Troupe演出
On Chesil Beach | directed by | Dominic Cooke
On Chesil Beach | based on | Ian McEwan's novella
On Chesil Beach | stars | Saoirse Ronan
On Chesil Beach | stars | Billy Howle
On Chesil Beach | premiered at | Toronto International Film Festival
Tell It to the Bees | directed by | Annabel Jankel
Tell It to the Bees | stars | Anna Paquin
Romans | directed by | Ludwig Shammasian
Romans | directed by | Paul Shammasian
Romans | written by | Geoff Thompson
Romans | stars | Orlando Bloom
Romans | stars | Janet Montgomery
Romans | stars | Charlie Creed-Miles
Romans | stars | Anne Reid
Romans | stars | Alex Ferns
Romans | stars | Josh Myers
Dark River | directed by | Clio Barnard
Dark River | written by | Clio Barnard
Dark River | stars | Ruth Wilson
Dark River | stars | Mark Stanley
Dark River | stars | Sean Bean
Dark River | screened at | Toronto International Film Festival
Zoo | 类型 | 英国历史战争剧情片
Zoo | 导演 | Colin McIvor
Zoo | 编剧 | Colin McIvor
Zoo | 主演 | Art Parkinson
Zoo | 主演 | Penelope Wilton
Zoo | 主演 | Toby Jones
Billy Howle | 职业 | 演员
Billy Howle | 出演作品 | Glue
Billy Howle | 出演角色 | James Warwick
Billy Howle | 出演作品 | The Sense of an Ending
Billy Howle | 出演角色 | Jim Broadbent角色的年轻版
Billy Howle | 出演作品 | The Witness for the Prosecution
Billy Howle | 出演角色 | Leonard Vole
Billy Howle | 出演作品 | Dunkirk
Billy Howle | 出演作品 | On Chesil Beach
Billy Howle | 出演作品 | The Seagull
Billy Howle | 出演作品 | Outlaw King
Tadakha | 别名 | Mettle
Tadakha | 类型 | Telugu action film
Tadakha | 导演 | Kishore Kumar Pardasani
Kishore Kumar Pardasani | 曾导演 | Konchem Ishtam Konchem Kashtam
Tadakha | 改编自 | Vettai
Vettai | 导演 | N. Linguswamy
Tadakha | 原定演员 | Sameera Reddy
Tadakha | 演员 | Andrea Jeremiah
Tamannaah | 合作演员 | Naga Chaitanya
Tadakha | 评价 | mixed to positive reviews
Tadakha | 票房表现 | Super Hit
Sunil | 获奖 | Filmfare Award for Best Supporting Actor - Telugu
The Little Stranger | 类型 | British mystery horror drama film
The Little Stranger | 导演 | Lenny Abrahamson
The Little Stranger | 编剧 | Lucinda Coxon
The Little Stranger | 改编自 | novel by Sarah Waters
The Little Stranger | 演员 | Domhnall Gleeson
The Little Stranger | 演员 | Ruth Wilson
The Little Stranger | 演员 | Will Poulter
The Little Stranger | 演员 | Charlotte Rampling
Branko Tomović | 出生日期 | 1980-06-17
Branko Tomović | 国籍 | 德国-塞尔维亚
Branko Tomović | 出生地 | Młynarze
Branko Tomović | 祖籍 | Carpathians in Serbia
Branko Tomović | 父母来源 | Golubac Fortress area on the Danube
Branko Tomović | 教育经历 | Lee Strasberg Theatre Institute
Branko Tomović | 首次亮相作品 | Remote Control
Branko Tomović | 获奖 | OmU-Award
Branko Tomović | 现居地 | City of London
Branko Tomović | 出演角色 | Antoni Pricha
Branko Tomović | 出演角色 | Marek Lisowski
Branko Tomović | 出演角色 | Miroslaw Feric
Branko Tomović | 合作导演 | Ken Loach
Branko Tomović | 合作导演 | Sönke Wortmann
Branko Tomović | 合作导演 | Paul Greengrass
Moviescope Magazine | awarded | One to Watch
He | starred in | The Bourne Ultimatum
The Bourne Ultimatum | directed by | Paul Greengrass
He | starred in | It's a Free World
It's a Free World | directed by | Ken Loach
He | starred in | The Wolf Man
The Wolf Man | directed by | Joe Johnston
He | starred in | Pope Joan
Pope Joan | directed by | Sönke Wortmann
He | starred in | Interview with a Hitman
Interview with a Hitman | directed by | Perry Bhandal
He | won | Best Actor Award
San Francisco Short Film Festival | awarded | Best Actor Award
The Accolade Film Awards | awarded | Best Actor Award
He | starred in | Inbetween
He | starred in | Believe the Magic
Believe the Magic | directed by | Jimmy Cauty
He | starred in | Entity
Entity | directed by | Steve Stone
Entity | won | two awards
Entity | won | Best Film
British Horror Film Festival | nominated | He
British Filmmakers Alliance | honoured | He
Icon Magazine | chose | He
He | set to play | Nikola Tesla
He | played | Jack Bauer's right-hand man
He | played | Belcheck
He | co-starred with | Kiefer Sutherland
He | appeared in | 24: Live Another Day
He | co-starred with | Brad Pitt
He | co-starred with | Logan Lerman
He | appeared in | Fury
Fury | directed by | David Ayer
Fury | genre | WWII drama
Once Upon a Time in London | directed by | Simon Rumley
Once Upon a Time in London | written by | Will Gilbey
Once Upon a Time in London | written by | Simon Rumley
Once Upon a Time in London | written by | Terry Stone
Once Upon a Time in London | about | Billy Hill
Once Upon a Time in London | about | Jack Comer
Once Upon a Time in London | stars | Leo Gregory
Once Upon a Time in London | stars | Terry Stone
Once Upon a Time in London | stars | Holly Earl
Once Upon a Time in London | stars | Dominic Keating
Once Upon a Time in London | stars | Geoff Bell
Best Friend's Brother | performed by | Victoria Justice
Best Friend's Brother | produced by | Kool Kojak
Best Friend's Brother | written by | Kool Kojak
Best Friend's Brother | written by | Savan Kotecha
Best Friend's Brother | written by | Victoria Justice
Best Friend's Brother | released as | third single
Best Friend's Brother | released by | Columbia Records
Best Friend's Brother | genre | electropop
Best Friend's Brother | genre | teen pop
Best Friend's Brother | about | girl's crush on her best friend's brother
Curmudgeons | directed by | Danny DeVito
Curmudgeons | produced by | Danny DeVito
Curmudgeons | stars | Danny DeVito
Curmudgeons | written by | Joshua Conkel
Curmudgeons | co-produced by | Joshua Conkel
Blow | performed by | Kesha
Blow | from album | Cannibal
Blow | written by | Kesha
Blow | written by | Klas Åhlund
Blow | written by | Lukasz Gottwald
Blow | written by | Allan Grigg
Blow | written by | Benjamin Levin
Blow | written by | Max Martin
Blow | produced by | Dr. Luke
Blow | produced by | Max Martin
Blow | produced by | Benny Blanco
Blow | produced by | Kool Kojak
Blow | genre | electropop
Blow | genre | dance-pop
Blow | described as | party anthem
Brian R. Etting | occupation | producer
Brian R. Etting | occupation | director
Brian R. Etting | occupation | screenwriter
Brian R. Etting | produced | Broken
Brian R. Etting | produced | Funny or Die
Brian R. Etting | produced | A Good Old Fashioned Orgy
Brian R. Etting | produced | Relative Strangers
Brian R. Etting | executive produced | Drunk History: Douglass & Lincoln
Brian R. Etting | owns | Garlin Pictures
Va Va Voom | performed by | Nicki Minaj
Va Va Voom | from album | Pink Friday: Roman Reloaded
Va Va Voom | released by | Young Money
Va Va Voom | released by | Cash Money
Va Va Voom | released by | Universal Republic
Va Va Voom | single number | fifth
Va Va Voom | written by | Nicki Minaj
Va Va Voom | written by | Lukasz Gottwald
Va Va Voom | written by | Allan Grigg
Va Va Voom | written by | Max Martin
Va Va Voom | written by | Henry Walter
Va Va Voom | produced by | Dr. Luke
Va Va Voom | produced by | Kool Kojak
Va Va Voom | produced by | Cirkut
Va Va Voom | originally planned as | lead single
Va Va Voom | replaced by | Starships
Va Va Voom | purpose of release | promotion for album reissue
Allan Grigg | also known as | Kool Kojak
Kool Kojak | nationality | American
Kool Kojak | occupation | musician
Kool Kojak | occupation | songwriter
Kool Kojak | occupation | record producer
Kool Kojak | occupation | film director
Kool Kojak | occupation | artist
Kool Kojak | co-wrote | Right Round
Kool Kojak | co-produced | Right Round
Right Round | performed by | Flo Rida
Right Round | chart position | #1 Billboard hit
Kool Kojak | co-wrote | Va Va Voom
Kool Kojak | co-produced | Va Va Voom
Kool Kojak | co-wrote | Blow
Kool Kojak | co-produced | Blow
Blow | performed by | Ke$ha
Blow | chart position | top 10 single
Kool Kojak | worked with | Sean Paul
Kool Kojak | worked with | Yelle
Kool Kojak | worked with | Waka Flocka Flame
Kool Kojak | worked with | Travis Barker
Kool Kojak | worked with | Dr. Seuss's The Lorax
Kool Kojak | worked with | Britney Spears
Kool Kojak | worked with | Jesse and Joy
Kool Kojak | worked with | Andy Milonakis
Kool Kojak | worked with | Icona Pop
Kool Kojak | worked with | N.A.S.A
Kool Kojak | worked with | Dirt Nasty
Kool Kojak | worked with | Lordz of Brooklyn
Kool Kojak | worked with | Ursula 1000
Kool Kojak | worked with | Warren G
Kool Kojak | featured on | X Factor
X Factor | hosted by | Simon Cowell
Kool Kojak | appeared on | Victorious
Victorious | broadcast by | Nickelodeon
Kool Kojak | award won | ASCAP Pop Award
Kool Kojak | award won | ASCAP Urban Award
Kool Kojak | award won | WormTown Sound Award
The Lorax | also known as | Dr. Seuss's The Lorax
The Lorax | release year | 2012
The Lorax | genre | 3D computer-animated musical fantasy–comedy film
The Lorax | produced by | Illumination Entertainment
The Lorax | based on | Dr. Seuss's children's book of the same name
The Lorax | distributed by | Universal Pictures
The Lorax | release coincides with | 108th birthday of Dr. Seuss
The Lorax | is adaptation of | 1972 animated television special
The Lorax | expands story of | Ted
Ted | character description | previously unnamed boy who visits the Once-ler
Danny DeVito | voices | The Lorax
Ed Helms | voices | the Once-ler
Zac Efron | voices | Ted
Audrey | voiced by | Taylor Swift
Aloysius O'Hare | voiced by | Rob Riggle
Mrs. Wiggins | voiced by | Jenny Slate
Grammy Norma | voiced by | Betty White
Rock Me | performed by | One Direction
Rock Me | from album | Take Me Home
Rock Me | written by | Peter Svensson
Rock Me | written by | Sam Hollander
Rock Me | written by | Lukasz Gottwald
Rock Me | written by | Henry Walter
Rock Me | written by | Breanna Smith
Rock Me | written by | Allan Grigg
Rock Me | produced by | Dr. Luke
Rock Me | produced by | Circut
Rock Me | produced by | Kool Kojak
Rock Me | has similarity | We Will Rock You
Victorious: Music from the Hit TV Show | soundtrack for | Victorious
Victorious: Music from the Hit TV Show | sung by | Victoria Justice
Victorious: Music from the Hit TV Show | sung by | Ariana Grande
Victorious: Music from the Hit TV Show | sung by | Elizabeth Gillies
Victorious: Music from the Hit TV Show | sung by | Miranda Cosgrove
Victorious: Music from the Hit TV Show | sung by | Matt Bennett
Victorious: Music from the Hit TV Show | sung by | Daniella Monet
Victorious: Music from the Hit TV Show | sung by | Avan Jogia
Victorious: Music from the Hit TV Show | written by | Michael Corcoran
Victorious: Music from the Hit TV Show | written by | Dan Schneider
Victorious: Music from the Hit TV Show | written by | Savan Kotecha
Victorious: Music from the Hit TV Show | written by | Kool Kojak
Victorious: Music from the Hit TV Show | written by | CJ Abraham
Song 2 You | written by | Leon Thomas III
Travis Barker | is member of | Blink-182
Give the Drummer Some | originally scheduled for release | September 2010
Give the Drummer Some | released under | Interscope Records
Give the Drummer Some | produced by | Travis Barker
Give the Drummer Some | produced by | The Neptunes
Give the Drummer Some | produced by | RZA
Give the Drummer Some | produced by | Kool Kojak
Give the Drummer Some | produced by | Chuck Inglish
Give the Drummer Some | produced by | Transplants
Give the Drummer Some | produced by | Kid Cudi
Give the Drummer Some | produced by | EDIT
Give the Drummer Some | produced by | Corey Taylor
Give the Drummer Some | produced by | Steve Aoki
Give the Drummer Some | debuted at | number nine on US Billboard 200
Nick Jordan | portrayed by | Michael French
Nick Jordan | appeared in | Casualty
Nick Jordan | became main character in | Holby City
Nick Jordan | role in Holby City | Cardiothoracic Surgical Registrar
Nick Jordan | departed from | Holby City
Nick Jordan | returned for | Casualty@Holby City
Nick Jordan | returned to | Holby City
Nick Jordan | role in Holby City | General Surgical Consultant
Nick Jordan | rejoined | Casualty
Nick Jordan | became | Clinical Lead
Michael French | left role as | Nick Jordan
Universal Soldier: Regeneration | genre | science fiction action films
Universal Soldier: Regeneration | start year | 1992
Universal Soldier: Regeneration | main character | Luc Deveraux
Luc Deveraux | played by | Jean-Claude Van Damme
Luc Deveraux | played by | Matt Battaglia
Universal Soldier: Regeneration | features | John
John | played by | Scott Adkins
Adrian Fletcher | 别名 | Fletch
Adrian Fletcher | 出自作品 | Casualty
Adrian Fletcher | 出自作品 | Holby City
Adrian Fletcher | 饰演者 | Alex Walkinshaw
Adrian Fletcher | 首次登场 | Zero Sum Game
Adrian Fletcher | 初始职位 | Senior Staff Nurse
Adrian Fletcher | 工作地点 | Holby City
Adrian Fletcher | 部门 | emergency department
Adrian Fletcher | 晋升职位 | Senior Staff Nurse
Alex Walkinshaw | 离开作品 | Casualty
Alex Walkinshaw | 继续饰演 | Holby City
Adrian Fletcher | 职位 | ward manager
Adrian Fletcher | 管理病区 | AAU ward
Alex Walkinshaw | 回归作品 | Casualty
Universal Soldier: Regeneration | also known as | Universal Soldier: A New Beginning
Universal Soldier: Regeneration | release year | 2009
Universal Soldier: Regeneration | genre | sci-fi action
Universal Soldier: Regeneration | directed by | John Hyams
John Hyams | child of | Peter Hyams
Peter Hyams | collaborated with | Jean-Claude Van Damme
Universal Soldier: Regeneration | stars | Jean-Claude Van Damme
Universal Soldier: Regeneration | stars | Dolph Lundgren
Jean-Claude Van Damme | reprises role from | Universal Soldier: Regeneration
Dolph Lundgren | reprises role from | Universal Soldier: Regeneration
Luc Deveraux | portrayed by | Jean-Claude Van Damme
Luc Deveraux | appears in | Universal Soldier: Regeneration
Luc Deveraux | portrayed by | Matt Battaglia
Jayne Grayson | 出现在 | Holby City
Jayne Grayson | 由演员饰演 | Stella Gonet
Jayne Grayson | 首次登场集数 | Under the Radar
Jayne Grayson | 担任职位 | 首席执行官
Jayne Grayson | 工作单位 | Holby City Hospital Primary Care Trust
Jayne Grayson | 是非医疗专业人员 | 唯一常规角色
Stella Gonet | 曾出演 | Casualty
Jayne Grayson | 剧情涉及 | 医院官僚主义
Jayne Grayson | 剧情涉及 | 丈夫与同事Connie Beauchamp的婚外情
Jayne Grayson | 参与关键剧情 | 连体双胞胎分离手术争议
Jayne Grayson | 获得评价 | 正面评价
Zero Dark Thirty | directed by | Kathryn Bigelow
Zero Dark Thirty | screenplay by | Mark Boal
Zero Dark Thirty | initial release location | Los Angeles and New York City
Zero Dark Thirty | worldwide gross | $106.8 million
